Number of model parameters: 79003758
Epoch: [4][140/374]	Time 0.847 (0.874)	Loss 1.4456 (1.8823)
Epoch: [4][150/374]	Time 0.821 (0.875)	Loss 1.8206 (1.8844)
Epoch: [4][160/374]	Time 0.829 (0.871)	Loss 1.7255 (1.8808)
Epoch: [4][170/374]	Time 0.845 (0.867)	Loss 1.5134 (1.8850)
Epoch: [4][180/374]	Time 0.856 (0.866)	Loss 2.1657 (1.8833)
Epoch: [4][190/374]	Time 1.042 (0.864)	Loss 2.1285 (1.8905)
Epoch: [4][200/374]	Time 0.880 (0.860)	Loss 1.8099 (1.8908)
Epoch: [4][210/374]	Time 0.929 (0.861)	Loss 1.8776 (1.8901)
Epoch: [4][220/374]	Time 0.894 (0.859)	Loss 2.4038 (1.9045)
Epoch: [4][230/374]	Time 0.986 (0.858)	Loss 2.1110 (1.9024)
Epoch: [4][240/374]	Time 0.872 (0.858)	Loss 2.5993 (1.9024)
Epoch: [4][250/374]	Time 0.819 (0.857)	Loss 2.0626 (1.9015)
Epoch: [4][260/374]	Time 0.770 (0.856)	Loss 2.0120 (1.9010)
Epoch: [4][270/374]	Time 0.798 (0.856)	Loss 1.5764 (1.8965)
Epoch: [4][280/374]	Time 0.773 (0.854)	Loss 1.4657 (1.8941)
Epoch: [4][290/374]	Time 0.801 (0.853)	Loss 1.1924 (1.8856)
Epoch: [4][300/374]	Time 0.782 (0.855)	Loss 1.8241 (1.8838)
Epoch: [4][310/374]	Time 0.757 (0.854)	Loss 1.8456 (1.8781)
Epoch: [4][320/374]	Time 0.804 (0.853)	Loss 1.5937 (1.8720)
Epoch: [4][330/374]	Time 0.789 (0.851)	Loss 1.7793 (1.8642)
Epoch: [4][340/374]	Time 0.831 (0.853)	Loss 1.8290 (1.8621)
Epoch: [4][350/374]	Time 0.808 (0.853)	Loss 1.6447 (1.8618)
Epoch: [4][360/374]	Time 0.859 (0.853)	Loss 1.6819 (1.8596)
Epoch: [4][370/374]	Time 0.847 (0.851)	Loss 2.1530 (1.8587)
Test: [0/267]	Time 4.341 (4.341)	Loss 0.5288 (0.5288)
Test: [10/267]	Time 1.053 (1.317)	Loss 1.1482 (0.6965)
Test: [20/267]	Time 0.922 (1.201)	Loss 1.2920 (0.7593)
Test: [30/267]	Time 0.946 (1.130)	Loss 0.8727 (0.8126)
Test: [40/267]	Time 1.034 (1.117)	Loss 1.1704 (0.8195)
Test: [50/267]	Time 0.941 (1.087)	Loss 0.9809 (0.8469)
Test: [60/267]	Time 1.374 (1.076)	Loss 0.4302 (0.8219)
Test: [70/267]	Time 1.105 (1.071)	Loss 0.9717 (0.8158)
